questionId,answers,comments,views,createdAt,answeredFirstAt
'4671378364039168',1,0,120,1431200522278,1431200873878
'4691547530461184',1,4,144,1431300316868,1431300505488
'4725596554788864',1,0,42,1431300412710,1431300630613
'4747532294946816',1,0,36,1431295482251,1431295604470
'4756221819092992',3,1,114,1431235894831,1431256147899
'4763256304435200',1,0,102,1431220563253,1431248947178
'4766979906863104',1,0,108,1431266340037,1431295022704
'4838037456420864',1,0,138,1431214641100,-1
'4944581904826368',1,1,120,1431284147325,1431298404460
'4952853340749824',3,2,180,1431287569039,1431294525099
'4984473024200704',1,0,204,1431285820969,1431287443171
'5210368842399744',1,0,60,1431206295901,-1
'5246303357370368',2,6,168,1431298144831,1431298345299
'5319171772514304',4,0,246,1431281195076,1431292237021
'5319429738987520',1,0,102,1431267954907,1431293389264
'5387040845725696',1,1,252,1431288862053,1431298112056
'5789006834958336',1,0,156,1431213613963,1431215900317
'5789071527903232',1,3,156,1431208613134,1431209715452
'5795569008115712',1,1,66,1431281196740,1431292494271
'5848973168345088',1,0,156,1431216286185,1431299873706
'5974816246988800',1,5,96,1431210469569,1431210535937
'6022859214290944',2,1,168,1431204296234,1431266737096
'6039617505591296',1,0,210,1431205671620,1431256992088
'6070481811668992',2,4,180,1431293713134,1431299803570
'6352021481324544',1,2,126,1431213598569,1431213671910
'6504070839795712',1,0,144,1431268372384,1431302883180
